roi_group,state,n_pt,slow_rel_mean,ci_lo,ci_hi
amygdala,N2,18,0.6789835014884131,0.5955214029852804,0.7354017408679702
amygdala,N3,15,0.7860940720731835,0.7537380765517293,0.8232543083058479
amygdala,R,12,0.7270625609933261,0.7117969465253492,0.742661330491013
amygdala,W,22,0.6589645770679028,0.6137932903169888,0.7051552010106288
entorhinal,N2,11,0.6640809654401724,0.5530789480172982,0.7528182368100759
entorhinal,N3,10,0.7393441318402526,0.6192073101626374,0.8465961698399566
entorhinal,R,5,0.6257280450181503,0.4716138056540339,0.7798422843822667
entorhinal,W,10,0.6212510319690864,0.526442105561347,0.7036130167670782
hippocampal,N2,38,0.678306745366123,0.6490871494520483,0.706106810920048
hippocampal,N3,33,0.7535653813502715,0.7217822731703603,0.7821642387251013
hippocampal,R,23,0.7079148705039237,0.670660385891879,0.7428809913128231
hippocampal,W,48,0.6196461881577545,0.5920799055324167,0.6476495709869741
parahippocampal,N2,22,0.6640795730956024,0.6091499708238192,0.7089844076729754
parahippocampal,N3,20,0.804332074690447,0.7515857235878911,0.8491001143917358
parahippocampal,R,14,0.7065679946103208,0.6475208221729131,0.7589309786767834
parahippocampal,W,26,0.5926016217327416,0.5509392884852846,0.6293664319518821
temporal_neocortex,N2,48,0.6784349445263502,0.6458132381766614,0.7092124110001193
temporal_neocortex,N3,43,0.8354774034949445,0.795875754613761,0.8709874567318618
temporal_neocortex,R,30,0.6905223679501632,0.6451295103683048,0.7356061782923191
temporal_neocortex,W,56,0.5738302367000613,0.5408100797948427,0.6075581812307264
