roi_group,state,n_pt,mi_mean,ci_lo,ci_hi,mi_z_mean
entorhinal,N2,12,0.023856833445642666,0.008161253379051837,0.04850189357270225,0.17895970938105932
entorhinal,N3,11,0.027414873851761754,0.0109353758528665,0.053962283770980495,0.04792631974038701
entorhinal,R,6,0.019013252637710566,0.005381952135751062,0.035756114938151694,-0.3996193332280981
entorhinal,W,11,0.04900409739377919,0.014017459398203253,0.0935183897791176,0.005353845584294379
hippocampal,N2,40,0.013128604697502011,0.006276112423696985,0.023035136022464205,0.19405319085038436
hippocampal,N3,35,0.01429313220321908,0.007207810543718496,0.02468791075526404,0.41168550197992293
hippocampal,R,25,0.0053762826097372264,0.002760093361059429,0.009562136444807273,0.11446280914603583
hippocampal,W,50,0.014594280888959879,0.006859374368628733,0.02525395420744296,0.14455564249352093
parahippocampal,N2,23,0.017619781381140516,0.004519054676495054,0.03893091906033104,0.12363878315746385
parahippocampal,N3,21,0.020166697743375622,0.005709109917312317,0.04447913815512021,0.1991516303961331
parahippocampal,R,15,0.009642622016030306,0.0027598312230486858,0.01808814670352497,-0.07052538704458115
parahippocampal,W,27,0.021528110113195106,0.004344223170415915,0.04311959322014974,0.0644632321178168
temporal_neocortex,N2,48,0.009722221928150492,0.004854380397294618,0.017741173051181294,0.26130171123982154
temporal_neocortex,N3,43,0.012137127178658738,0.006864048351459233,0.01967327780530443,0.45483428933115055
temporal_neocortex,R,30,0.005902646600471468,0.0034620901020534374,0.009595006974294062,0.3712181214286114
temporal_neocortex,W,56,0.014710463186688076,0.006370919295211685,0.02573528971230151,0.3294688438621969
