sub,channel,region,z,n_ripples
sub-01,AHR1-2,hippocampal,15.684994083706698,94
sub-01,AHR2-3,hippocampal,9.221847033411073,107
sub-01,AHR3-4,hippocampal,10.975520593652542,94
sub-01,AR1-2,amygdala,6.451450505273802,229
sub-01,AR2-3,amygdala,10.914794751463948,224
sub-01,AR3-4,amygdala,10.742756883664555,34
sub-01,HL1-2,hippocampal,3.8021748955239416,300
sub-01,HL2-3,hippocampal,17.225891519195883,334
sub-01,HL3-4,hippocampal,7.654168019286849,524
sub-01,PHR1-2,hippocampal,8.677141970920305,120
sub-01,PHR2-3,hippocampal,10.362964335628392,109
sub-01,PHR3-4,hippocampal,11.324479801234784,63
sub-02,AL1-2,amygdala,0.2039593768254665,303
sub-02,AL2-3,amygdala,0.4016599283915402,115
sub-02,AL3-4,amygdala,1.1720592071755174,30
sub-02,AR1-2,amygdala,3.8574137758597167,310
sub-02,AR2-3,amygdala,7.918359747314599,85
sub-03,AHL1-2,hippocampal,15.210439030809729,124
sub-03,AHL2-3,hippocampal,1.134464475765424,45
sub-03,AHR1-2,hippocampal,4.901250149602611,1198
sub-03,AHR2-3,hippocampal,0.6631038106067315,1010
sub-03,AHR3-4,hippocampal,2.0325743649285135,1232
sub-03,PHL1-2,hippocampal,33.98937783073142,117
sub-04,AR1-2,amygdala,5.323234419575152,217
sub-04,AR2-3,amygdala,6.984267602796263,155
sub-04,AR3-4,amygdala,13.235942890366646,36
sub-04,HL1-2,hippocampal,11.000074366924572,513
sub-04,HL2-3,hippocampal,8.165830667003908,493
sub-04,HL3-4,hippocampal,1.4567066583110344,206
sub-04,HR1-2,hippocampal,6.345163424407968,195
sub-04,HR2-3,hippocampal,9.590138141035673,156
sub-04,HR3-4,hippocampal,13.118982651460614,93
sub-04,PL1-2,hippocampal,3.1395103639126134,352
sub-04,PL2-3,hippocampal,0.04569949284962191,616
sub-04,PL3-4,hippocampal,2.6430913601413346,104
sub-04,PR1-2,hippocampal,26.29854944320955,53
sub-05,AL1-2,amygdala,0.9393465263884576,66
sub-05,AR1-2,amygdala,4.404549445459873,346
sub-05,AR2-3,amygdala,11.984123013290406,304
sub-05,AR3-4,amygdala,6.917324046383638,89
sub-06,AL1-2,amygdala,3.2695644319524937,326
sub-06,AL2-3,amygdala,0.4511409092808543,223
sub-06,AR1-2,amygdala,2.8786749811262107,155
sub-06,AR2-3,amygdala,4.4679951995554,126
sub-07,AL1-2,amygdala,7.3646128063659955,55
sub-09,AL1-2,amygdala,18.439341090489535,277
sub-09,AL2-3,amygdala,12.402743444354764,124
sub-09,AR1-2,amygdala,15.186964555611478,116
sub-09,AR2-3,amygdala,16.892025964115227,35
sub-09,EL1-2,entorhinal,17.881793575918607,321
sub-09,EL2-3,entorhinal,9.175192176826767,239
sub-09,ER1-2,entorhinal,23.73684105496905,139
sub-09,ER2-3,entorhinal,17.17672039992869,61
sub-09,HL1-2,hippocampal,4.9506536121358105,332
sub-09,HL2-3,hippocampal,6.62683273815892,82
sub-09,HL3-4,hippocampal,2.744460899023103,34
sub-09,HR1-2,hippocampal,6.33257028576351,127
sub-09,HR2-3,hippocampal,7.523876730785367,108
sub-09,HR3-4,hippocampal,9.928151466357503,73
sub-09,PL1-2,hippocampal,10.45329441608869,295
sub-09,PL2-3,hippocampal,12.923703104909277,198
sub-09,PR1-2,hippocampal,11.807076710021288,362
sub-09,PR2-3,hippocampal,9.825222314495194,54
