pt,channel,roi_group,state,n_clips,slow,delta,theta,spindle,beta,gamma
sub-RID0020,AST01-AST02,entorhinal,W,7,0.3132816648873618,0.29148310054076976,0.36863336850986234,0.09217207483860092,0.09174146891027855,0.02670587778091273
sub-RID0020,AST02-AST03,temporal_neocortex,W,7,0.3886157455945632,0.36712408670815017,0.3953507557144261,0.05510988170554217,0.04226694517316939,0.010942244845125003
sub-RID0020,AST03-AST04,temporal_neocortex,W,7,0.36674035319968556,0.3466363337474581,0.4113298556048462,0.055773254309498733,0.03875111380147478,0.010795913816625088
sub-RID0020,LA01-LA02,hippocampal,W,7,0.4655062209990976,0.42791086622195856,0.23437079555302695,0.0642247960003718,0.10297656079806754,0.06505947116036402
sub-RID0020,LA02-LA03,hippocampal,W,7,0.5557734734205434,0.5038088841034669,0.2587963387587364,0.038103292879662576,0.04489245564409357,0.03009134560691513
sub-RID0020,LG57-LG58,temporal_neocortex,W,7,0.4699574509394638,0.4421022543799534,0.33358814133187675,0.04405280214457411,0.03269053675783495,0.009554199560491968
sub-RID0020,LG61-LG62,temporal_neocortex,W,7,0.3389598122397587,0.297995046735927,0.3214802630356943,0.08184003388377038,0.08221588548441394,0.028892907286501124
sub-RID0020,LG62-LG63,temporal_neocortex,W,7,0.3336618506096987,0.2940494512848985,0.3958715349736404,0.06963846045226235,0.05113618448402439,0.01588469012602916
sub-RID0020,MST01-MST02,temporal_neocortex,W,7,0.5649761608661754,0.5291744115059798,0.2877594924712747,0.03198190593814511,0.022087076841587176,0.0074730017230098195
sub-RID0020,MST02-MST03,temporal_neocortex,W,7,0.6469977647342411,0.6061278213308625,0.24193652935238205,0.021754791194024476,0.013551097953145168,0.004470871046257943
sub-RID0020,MST03-MST04,temporal_neocortex,W,7,0.6063785414751667,0.5586317185262203,0.2557706554890155,0.03435929398975328,0.02125326071203823,0.007002207771926559
sub-RID0020,PST03-PST04,temporal_neocortex,W,7,0.5516944640802163,0.5210042926832541,0.2918094541508108,0.03527467050711431,0.02392869369340397,0.007223816408852962
